MLA Name,Split,Accuracy_train,Accuracy_test,Precision_train,Precision_test,Recall_train,Recall_test,F1_train,F1_test,AUC_train,AUC_test,Balanced Accuracy_train,Balanced Accuracy_test
SVC_None_10_None,4.5,0.7641520467836257,0.7347826086956522,0.20474603174603176,0.0,0.135,0.0,0.1323799533799534,0.0,0.41204761904761905,0.6833333333333333,0.5278333333333334,0.46944444444444444
RandomForestClassifier_MutualInfo_10_SMOTE-TOMEK,4.5,0.8929655172413794,0.7391304347826086,0.8999752780758973,0.375,0.8908571428571429,0.24000000000000005,0.8919484860351347,0.26930014430014426,0.9495015873015873,0.5622222222222223,0.8926666666666666,0.5588888888888889
RandomForestClassifier_MutualInfo_10_SMOTE,4.5,0.9005287356321838,0.691304347826087,0.9162554913266987,0.16833333333333333,0.8870476190476191,0.18,0.8983654282286062,0.16722222222222222,0.9511269841269842,0.5344444444444445,0.9003809523809524,0.5066666666666666
XGBClassifier_MutualInfo_10_SMOTE,4.5,0.8738850574712643,0.6304347826086956,0.8694226384210906,0.17535714285714285,0.8856190476190478,0.2,0.8746984377405596,0.18282051282051281,0.9302031746031746,0.5333333333333334,0.8737619047619047,0.475
XGBClassifier_MutualInfo_10_SMOTE-TOMEK,4.5,0.8670804597701149,0.6608695652173913,0.8592467783334656,0.24751082251082251,0.887047619047619,0.27999999999999997,0.8697567597588372,0.24853896103896106,0.9285460317460318,0.5311111111111111,0.8670476190476191,0.5233333333333333
RandomForestClassifier_MutualInfo_10_ADASYN,4.5,0.8947128025848826,0.7130434782608696,0.8950489908268546,0.325,0.9029285714285715,0.16,0.8942859877292495,0.19906204906204905,0.9542206632653061,0.5288888888888889,0.8946547619047619,0.5133333333333334
SVC_MutualInfo_10_None,4.5,0.6857309941520467,0.6391304347826087,0.33560904936137137,0.145,0.3983333333333333,0.2,0.30361636189897057,0.1601259559154296,0.5663968253968255,0.5288888888888889,0.5763571428571429,0.4805555555555555
SVC_MutualInfo_25_RandomUnderSampler,4.5,0.6399999999999999,0.391304347826087,0.7002380952380952,0.16343264578558697,0.6033333333333333,0.45999999999999996,0.6072539682539683,0.23780833459626027,0.6366666666666667,0.5288888888888889,0.6433333333333333,0.41611111111111115
SVC_None_10_RandomUnderSampler,4.5,0.5199999999999999,0.4217391304347826,0.471,0.14154825566590273,0.5349999999999999,0.36,0.46761904761904766,0.20234590486912468,0.4583333333333333,0.525,0.5441666666666667,0.39944444444444444
XGBClassifier_MutualInfo_10_ADASYN,4.5,0.8716211663753377,0.6869565217391305,0.8605605548562204,0.32178571428571423,0.8985595238095238,0.32,0.875101241433434,0.30323898323898324,0.9317789682539683,0.5244444444444445,0.8718511904761905,0.5544444444444444
SVC_MutualInfo_25_None,4.5,0.681345029239766,0.5565217391304348,0.25827200577200576,0.08484848484848484,0.3466666666666667,0.16,0.2628508713508714,0.10803030303030303,0.5041190476190477,0.5122222222222221,0.5545238095238095,0.4133333333333334
SVC_MutualInfo_15_RandomUnderSampler,4.5,0.6446428571428571,0.3956521739130435,0.6849999999999999,0.1917892414602941,0.6199999999999999,0.5599999999999999,0.6243174603174603,0.2837907268170426,0.63375,0.5116666666666667,0.6433333333333333,0.45499999999999996
XGBClassifier_MutualInfo_10_BorderlineSMOTE,4.5,0.869816091954023,0.6304347826086957,0.8612172890748742,0.17666666666666667,0.8908571428571429,0.16,0.8724784915220006,0.1600865800865801,0.932720634920635,0.5005555555555555,0.8700000000000001,0.4605555555555556
RandomForestClassifier_MutualInfo_10_BorderlineSMOTE,4.5,0.9006896551724137,0.7086956521739131,0.9110607268548445,0.2,0.8925714285714286,0.08,0.8986410362059972,0.10508658008658008,0.9526984126984127,0.49000000000000005,0.900952380952381,0.48166666666666663
XGBClassifier_MutualInfo_15_ADASYN,4.5,0.8715553260236242,0.6739130434782609,0.8586847841700782,0.2217857142857143,0.9008928571428572,0.18,0.8758749151707634,0.18314518814518815,0.9373815759637187,0.48555555555555563,0.8716845238095237,0.4955555555555556
RandomForestClassifier_None_10_None,4.5,0.8012280701754386,0.7782608695652173,0.006666666666666666,0.0,0.005,0.0,0.005714285714285714,0.0,0.46024603174603174,0.4822222222222223,0.5010714285714286,0.49722222222222223
SVC_MutualInfo_10_SMOTE-TOMEK,4.5,0.8657241379310345,0.6347826086956522,0.829849479381987,0.2319047619047619,0.9348571428571428,0.27999999999999997,0.8755742135465194,0.24372846108140225,0.9330984126984128,0.4822222222222222,0.8656190476190476,0.5066666666666666
LogisticRegression_MutualInfo_10_None,4.5,0.7233918128654971,0.673913043478261,0.16402597402597402,0.08068181818181819,0.265,0.13999999999999999,0.18456238206238204,0.10192307692307692,0.5524761904761905,0.48,0.5500238095238095,0.4811111111111111
RandomForestClassifier_MutualInfo_15_SMOTE,4.5,0.9177701149425287,0.7130434782608696,0.9349093912623324,0.11666666666666665,0.9020952380952382,0.08,0.9152517055514832,0.09318181818181819,0.9572698412698413,0.47944444444444445,0.9175238095238095,0.4844444444444444
SVC_MutualInfo_15_None,4.5,0.6396491228070176,0.49565217391304345,0.3074229104229104,0.1532034632034632,0.5149999999999999,0.3,0.3418244076185253,0.2000501253132832,0.5700555555555555,0.47333333333333333,0.592452380952381,0.425
RandomForestClassifier_MutualInfo_15_ADASYN,4.5,0.9070527040627152,0.708695652173913,0.9064637078607667,0.19833333333333333,0.9140833333333334,0.1,0.9071410062660602,0.12055555555555555,0.9610650793650795,0.4722222222222222,0.9070892857142857,0.48888888888888893
SVC_MutualInfo_10_ADASYN,4.5,0.8716717516817628,0.6130434782608696,0.8295634831284987,0.1711111111111111,0.9472142857142858,0.24,0.8818336509343349,0.1968631368631369,0.9486582199546486,0.47111111111111115,0.8713214285714285,0.47833333333333333
LogisticRegression_MutualInfo_25_RandomUnderSampler,4.5,0.6435714285714286,0.5043478260869565,0.6171904761904762,0.1930846930846931,0.5816666666666667,0.48,0.5733924963924963,0.2737091503267974,0.6545833333333333,0.47000000000000003,0.6383333333333333,0.4955555555555556
LogisticRegression_MutualInfo_20_RandomUnderSampler,4.5,0.6521428571428571,0.5130434782608695,0.5864285714285714,0.15872171945701358,0.5233333333333333,0.42000000000000004,0.5331962481962482,0.22701794937089054,0.6583333333333333,0.4688888888888889,0.6499999999999999,0.47944444444444445
