name_column_excel,priority,category,variable_name,variable_type,description
ST2,high,NA,st2_aa,numerical,Suppression of tumorigenicity 2 (ST2) after the treatment
LA objętość,high,NA,lavolume_ba,numerical,Left atrium (LA) volume in ml
LAVI,high,NA,lavi,numerical,Left atrial volume index in ml/m2
EF,high,NA,ef,numerical,Ejection fraction (EF) in %
RBC,low,NA,rbc_ba,numerical,Red blood cell (RBC) count before the treatment
Hb,low,NA,hb_ba,numerical,Hemoglobin (Hb) before the treatment
HCT,low,NA,hct_ba,numerical,Hematocrit test (Hct) before the treatment
MCV,low,NA,mcv_ba,numerical,Mean corpuscular volume (MCV) before the treatment
MCH,low,NA,mch_ba,numerical,Mean corpuscular hemoglobin (MCH) before the treatment
MCHC,low,NA,mchc_ba,numerical,Mean corpuscular haemoglobin concentration (MCHC) before the treatment
Na,low,NA,na_ba,numerical,Sodium levels before the treatment
K,low,NA,k_ba,numerical,Potassium levels before the treatment
glukoza,low,NA,glucose_ba,numerical,Glucose before the treatment
cholesterol,low,NA,cholesterol_ba,numerical,Cholesterol before the treatment
HDL,low,NA,hdl_ba,numerical,High-density lipoprotein cholesterol before the treatment (mg/dl)
LDL,low,NA,ldl_ba,numerical,Low-density lipoproteins before the treatment (mg/dl)
TG,low,NA,tg_ba,numerical,Triglycerides before the treatment
TSH,low,NA,tsh_ba,numerical,Thyroid stimulating hormone before the treatment
Mocznik,low,NA,urea_ba,numerical,Urea levels before the treatment
Kreatynina,low,NA,creatinine_ba,numerical,Creatinine levels before the treatment
GFR,low,NA,gfr_ba,numerical,Glomerular filtration rate (GFR) before the treatment
ALAT,low,NA,alat_ba,numerical,Alanine aminotransferase (ALAT) before the treatment
ASPAT,low,NA,aspat_ba,numerical,Aspartate transaminase (AST) before the treatment
RR Syst,low,NA,rrsyst_ba,numerical,Inter-systolic respiratory rate (RR) before the treatment
RR Syst,low,NA,rrsyst_aa,numerical,Inter-systolic respiratory rate (RR) after the treatment
RR Diast,low,NA,rrdiast_ba,numerical,Inter-diastolic respiratory rate (RR) before the treatment
RR Diast,low,NA,rrdiast_aa,numerical,Inter-diastolic respiratory rate (RR) after the treatment
Categorical AF,high,NA,af_type,binary,"Type of atrial fibrillation (AF) (survived,persistent=0 or paraxysmal=1)"
EHR scale,low,NA,ehr,binary,"EHR scale (I or II=0, III or IV=1)"
CHOROBA NIEDOKRWIENNA SERCA,low,NA,ischemic,binary,"Presence of ischemic disease (0=No, 1=Yes)"
NADCIŚNIENIE TĘTNICZE,low,NA,hypertension,binary,"Presence of hypertension (0=No, 1=Yes)"
CHOROBY TARCZYCY,high,NA,thyroid,binary,"Presence of thyroid diseases (0=No, 1=Yes)"
DYSLIPIDEMIA,low,NA,dyslipidemia,binary,"Presence of dyslipidemia disease (0=No, 1=Yes)"
NIEWYDOLNOŚĆ SERCA,high,NA,heart_failure,binary,"Presence of heart failure (0=No, 1=Yes)"
LEKI ANTYARYTMICZNE,low,NA,antiarrythmic_drugs,binary,"Antiarrythmic type of drugs used (if used). (1=yes, 0=No)"
LBA,low,NA,lba,binary,Presence of low backache medical disorder
STATYNA,low,NA,statina,binary,"Use of statin (0=No, 1=Yes)"
ACEI,low,NA,acei,binary,"Use of statin Angiotensin-converting enzyme inhibitors (ACEIs) (0=No, 1=Yes)"
SARTANY,low,NA,sartan,binary,"Use of angiotension II receptor blockers (SARTANs) (0=No, 1=Yes)"
ACEi i Sartan vs 0,low,NA,acei_sartan,binary,"Use of acei or sartan (0=No, 1=Yes)"
Ca bloker,low,NA,ca_bloker,binary,"Use of CA blockers (0=No, 1=Yes)"
DIURETYKI,low,NA,diuretics,binary,"Use of diuretics  (0=No, 1=Yes)"
PAPIEROSY,high,NA,smoker,binary,"Patient smoke cigarettes (0=No, 1=Yes)"
skala CHA2DS2-VASC,low,NA,cha2ds2_vasc_scale,binary,"CHA2DS2-VASC scale ( above or equal to 2=1, below 2 =0)"
skala HAS-BLED,low,NA,has_bled_scale,binary,"HAS-BLED scale (above or equal to 3=1, below 3=0)"
Czas zabiegu,high,NA,treatment_time,numerical,Duration of the treatment
Czas skopii RTG,high,NA,xray_copy_time,numerical,Duration of the X-RAY copy
Czas krioaplikacji (min),high,NA,cryoapplication_time,numerical,Duration of the cryoapplication
Liczba krioaplikacji,high,NA,number_applications,numerical,Number of applications
